RPM,Torque
8756.147541,220.6937515
8807.377049,223.2374079
8838.114754,224.5099786
8868.852459,224.5144334
8899.590164,227.05512
8909.836066,227.0566049
8971.311475,228.3336303
8971.311475,228.3336303
9053.278689,232.1498574
9073.770492,232.1528273
9155.737705,232.1647066
9186.47541,234.7053932
9186.47541,235.9735091
9278.688525,235.9868734
9278.688525,235.9868734
9391.393443,241.0756712
9391.393443,241.0756712
9534.836066,244.9008078
9616.803279,246.180803
9668.032787,247.4563435
9739.754098,248.7348539
9831.967213,248.7482181
9842.213115,248.749703
9913.934426,248.7600974
9985.655738,248.7704918
10057.37705,250.0490021
10098.36066,250.0549418
10180.32787,251.334937
10211.06557,252.6075077
10231.55738,253.8785935
10272.54098,253.8845331
10426.22951,260.2473866
10354.5082,256.4326443
10375,256.4356142
10467.21311,261.5214421
10487.70492,261.524412
10518.44262,261.5288667
10569.67213,262.8044072
10579.91803,264.0740081
10672.13115,267.8917201
10672.13115,267.8917201
10672.13115,267.8917201
10774.59016,269.1746852
10774.59016,269.1746852
10866.80328,272.9923972
10866.80328,275.5286291
10938.52459,278.0752554
10959.01639,280.6144571
11000,280.6203968
11051.22951,281.8959373
11092.21311,285.7062248
11133.19672,289.5165122
11194.67213,293.3297695
11235.65574,295.8719411
11297.13115,302.2214303
11348.36066,303.4969708
11399.59016,308.5768591
11420.08197,309.8479449
11461.06557,313.6582324
11532.78689,314.9367427
11573.77049,317.4789142
11584.01639,317.4803991
11635.2459,317.4878237
11696.72131,317.4967332
11747.95082,318.7722737
11788.93443,318.7782134
11860.65574,318.7886077
11870.90164,318.7900927
11952.86885,318.801972
11952.86885,318.801972
12004.09836,322.6137444
11993.85246,323.8803754
12055.32787,323.8892849
12116.80328,323.8981943
12127.04918,323.8996793
12188.52459,323.9085887
12270.4918,323.920468
12383.19672,323.9368021
12465.16393,325.2167973
12516.39344,326.4923378
12598.36066,327.7723331
12659.83607,329.0493585
12711.06557,330.324899
12823.77049,330.3412331
12895.4918,331.6197434
12967.21311,335.4344856
13028.68852,332.9071632
13059.42623,335.4478498
13110.65574,336.7233904
13172.13115,339.2685317
13192.62295,339.2715015
13243.85246,340.5470421
13315.57377,341.8255524
13387.29508,343.1040627
13469.2623,343.115942
13561.47541,344.3974222
13622.95082,345.6744476
13715.16393,345.6878118
13797.13115,345.6996911
13899.59016,345.7145403
13899.59016,345.7145403
13971.31148,344.4568187
13971.31148,344.4568187
14032.78689,344.4657282
14084.01639,344.4731528
14125,345.7472084
14206.96721,345.7590877
14237.70492,345.7635424
14299.18033,345.7724519
14340.16393,345.7783915
14391.39344,345.7858161
14442.62295,345.7932407
14493.85246,347.0687812
14565.57377,347.0791756
14637.29508,347.08957
14688.52459,348.3651105
14750,345.8377881
14811.47541,345.8466976
14831.96721,345.8496674
14872.95082,345.855607
14872.95082,345.855607
14924.18033,345.8630316
14934.42623,345.8645165
14995.90164,345.873426
15006.14754,345.8749109
15006.14754,347.1430268
15067.62295,344.6157044
15088.11475,344.6186743
15098.36066,344.6201592
15118.85246,344.623129
15149.59016,345.8956997
15159.83607,347.1653005
15200.81967,347.1712402
15231.55738,347.1756949
15252.04918,347.1786648
15293.03279,347.1846044
15293.03279,347.1846044
15354.5082,347.1935139
15385.2459,347.1979686
15395.4918,347.1994536
15395.4918,347.1994536
15426.22951,344.6676764
15456.96721,343.4040152
15508.19672,342.1433238
15559.42623,342.1507484
15559.42623,342.1507484
15651.63934,342.1641126
15672.13115,342.1670824
15702.86885,342.1715372
15764.34426,342.1804467
15774.59016,340.9138156
15846.31148,338.3879781
15918.03279,337.1302566
15989.7541,337.140651
16040.98361,337.1480756
16051.22951,337.1495605
16112.70492,337.1584699
16122.95082,337.1599549
16122.95082,337.1599549
16194.67213,335.9022333
16235.65574,333.3719411
16266.39344,333.3763958
16286.88525,333.3793656
16338.11475,333.3867902
16338.11475,333.3867902
16409.83607,332.1290687
16461.06557,332.1364932
16471.31148,332.1379781
16471.31148,332.1379781
16532.78689,332.1468876
16532.78689,332.1468876
16532.78689,332.1468876
16584.01639,329.6180803
16594.2623,329.6195652
16665.98361,328.3618437
16665.98361,328.3618437
16727.45902,328.3707531
16727.45902,328.3707531
16788.93443,328.3796626
16819.67213,328.3841174
16850.40984,328.3885721
16911.88525,325.8612497
16963.11475,323.3324424
17014.34426,322.071751
